Prophage	Defense_System	System_Type	System_Subtype	Coverage
GCA_023907445.1_ASM2390744v1/STRP01000018.1_provirus_13749_64074	GCA_023907445.1_ASM2390744v1_BREX_I_10	BREX	BREX_I	45.67%
GCA_950101585.1_T1796-5/CATNLG010000001.1_provirus_5349953_5359906	GCA_950101585.1_T1796-5_ShosTA_1	ShosTA	ShosTA	59.88%
GCA_000789965.1_AZPAE14856/JTUG01000046.1_provirus_3_40923	GCA_000789965.1_AZPAE14856_BstA_1	BstA	BstA	100.00%
GCA_034494145.1_PDT002035243.1/DASNQK010000047.1_provirus_19742_30172	GCA_034494145.1_PDT002035243.1_RM_Type_IV_13	RM	RM_Type_IV	100.00%
GCA_963451005.1_t143_s_D9.1/CAUNQY010000002.1_provirus_48970_94552	GCA_963451005.1_t143_RM_Type_II_6	RM	RM_Type_II	100.00%
GCA_963451005.1_t143_s_D9.1/CAUNQY010000010.1_provirus_98392_149159	GCA_963451005.1_t143_BstA_1	BstA	BstA	100.00%
GCA_963451005.1_t143_s_D9.1/CAUNQY010000002.1_provirus_48970_94552	GCA_963451005.1_t143_PD-T7-4_4	PD-T7-4	PD-T7-4	100.00%
GCA_003835905.1_ASM383590v1/NSRK01000005.1_provirus_462560_476419	GCA_003835905.1_ASM383590v1_RM_Type_II_3	RM	RM_Type_II	100.00%
GCA_025079255.1_ASM2507925v1/CP096207.1_provirus_2845881_2880803	GCA_025079255.1_ASM2507925v1_Tiamat_12	Tiamat	Tiamat	100.00%
GCA_025079255.1_ASM2507925v1/CP096207.1_provirus_6653129_6663019	GCA_025079255.1_ASM2507925v1_ShosTA_3	ShosTA	ShosTA	59.88%
GCA_902202405.1_BS2248/CABINC010000003.1_provirus_123274_162433	GCA_902202405.1_BS2248_PD-Lambda-5_6	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_002134975.1_ASM213497v1/NDFU01000018.1_provirus_34070_77424	GCA_002134975.1_ASM213497v1_ShosTA_7	ShosTA	ShosTA	100.00%
GCA_024128095.1_ASM2412809v1/JAMYBB010000001.1_provirus_213042_257986	GCA_024128095.1_ASM2412809v1_ShosTA_2	ShosTA	ShosTA	100.00%
GCA_021680835.1_PDT000768016.1/DAFQPI010000003.1_provirus_194471_231994	GCA_021680835.1_PDT000768016.1_RloC_2	RloC	RloC	100.00%
GCA_023994915.1_PDT001339896.1/DAHPXG010000006.1_provirus_161312_185920	GCA_023994915.1_PDT001339896.1_Shedu_3	Shedu	Shedu	100.00%
GCA_003332625.1_ASM333262v1/QDGL01000002.1_provirus_414668_468893	GCA_003332625.1_ASM333262v1_DS-6_1	DS-6	DS-6	100.00%
GCA_010605395.1_ASM1060539v1/VLTX01000011.1_provirus_108341_119543	GCA_010605395.1_ASM1060539v1_RM_Type_II_5	RM	RM_Type_II	100.00%
GCA_963448175.1_p56_s_F1.1/CAUNFF010000003.1_provirus_60223_106793	GCA_963448175.1_p56_PD-Lambda-5_5	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_963443325.1_t123_s_E6.1/CAUMNV010000021.1_provirus_68302_80191	GCA_963443325.1_t123_RM_Type_IV_6	RM	RM_Type_IV	100.00%
GCA_902202625.1_BS2258/CABIOG010000002.1_provirus_344202_383146	GCA_902202625.1_BS2258_PD-Lambda-5_6	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_031158715.1_ASM3115871v1/JAVIJJ010000001.1_provirus_152876_216629	GCA_031158715.1_ASM3115871v1_RosmerTA_5	RosmerTA	RosmerTA	100.00%
GCA_963450845.1_t154_d1_G7.1/CAUNQG010000011.1_provirus_121645_158088	GCA_963450845.1_t154_PD-Lambda-5_3	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_025237565.1_ASM2523756v1/JAJUQM010000013.1_provirus_3_37362	GCA_025237565.1_ASM2523756v1_RM_Type_II_11	RM	RM_Type_II	100.00%
GCA_001452405.1_WH-SGI-V-07680/LLSA01000001.1_provirus_555535_592427	GCA_001452405.1_WH-SGI-V-07680_PD-Lambda-5_12	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_015735915.1_ASM1573591v1/JADSYA010000018.1_provirus_13651_59887	GCA_015735915.1_ASM1573591v1_RM_Type_I_10	RM	RM_Type_I	48.02%
GCA_031847675.1_ASM3184767v1/JASCIK010000003.1_provirus_436319_477816	GCA_031847675.1_ASM3184767v1_ShosTA_1	ShosTA	ShosTA	100.00%
GCA_023909835.1_ASM2390983v1/STNA01000053.1_provirus_3_9279	GCA_023909835.1_ASM2390983v1_PD-T7-4_4	PD-T7-4	PD-T7-4	100.00%
GCA_025108495.1_ASM2510849v1/JANYSU010000022.1_provirus_52916_63468	GCA_025108495.1_ASM2510849v1_Septu_4	Septu	Septu	100.00%
GCA_003837525.1_ASM383752v1/NSTX01000008.1_provirus_53_48812	GCA_003837525.1_ASM383752v1_DS-6_1	DS-6	DS-6	100.00%
GCA_021730475.1_ASM2173047v1/JADDMC010000006.1_provirus_99173_147702	GCA_021730475.1_ASM2173047v1_BstA_1	BstA	BstA	100.00%
GCA_963448455.1_t122_d1_H5.1/CAUNGQ010000004.1_provirus_210356_256710	GCA_963448455.1_t122_PD-Lambda-5_5	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_902202515.1_BS2257/CABINR010000002.1_provirus_344202_383146	GCA_902202515.1_BS2257_PD-Lambda-5_6	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_024371095.1_PDT001363444.1/DAIHRG010000008.1_provirus_97733_140137	GCA_024371095.1_PDT001363444.1_ShosTA_5	ShosTA	ShosTA	100.00%
GCA_033796645.1_ASM3379664v1/JAVFDV010000004.1_provirus_66436_120649	GCA_033796645.1_ASM3379664v1_BstA_1	BstA	BstA	100.00%
GCA_018341775.1_ASM1834177v1/JAFBYM010000017.1_provirus_313_20626	GCA_018341775.1_ASM1834177v1_Gabija_8	Gabija	Gabija	100.00%
GCA_021675515.1_PDT000771022.1/DAFQFE010000004.1_provirus_147841_190531	GCA_021675515.1_PDT000771022.1_RM_Type_II_4	RM	RM_Type_II	100.00%
GCA_018340815.1_ASM1834081v1/JAFBYB010000008.1_provirus_313_20626	GCA_018340815.1_ASM1834081v1_Gabija_7	Gabija	Gabija	100.00%
GCA_021060985.1_ASM2106098v1/JAIGZL010000154.1_provirus_153302_165013	GCA_021060985.1_ASM2106098v1_RM_Type_II_6	RM	RM_Type_II	61.39%
GCA_025129955.1_ASM2512995v1/JANYZW010000011.1_provirus_221_10810	GCA_025129955.1_ASM2512995v1_Old_exonuclease_4	Old_exonuclease	Old_exonuclease	100.00%
GCA_963452405.1_t143_s_G4.1/CAUNWL010000003.1_provirus_377856_422750	GCA_963452405.1_t143_RM_Type_II_6	RM	RM_Type_II	100.00%
GCA_963452405.1_t143_s_G4.1/CAUNWL010000010.1_provirus_130350_181117	GCA_963452405.1_t143_BstA_1	BstA	BstA	100.00%
GCA_963452405.1_t143_s_G4.1/CAUNWL010000003.1_provirus_377856_422750	GCA_963452405.1_t143_PD-T7-4_4	PD-T7-4	PD-T7-4	100.00%
GCA_950099405.1_TGT1/CATNHK010000001.1_provirus_5454122_5464075	GCA_950099405.1_TGT1_ShosTA_1	ShosTA	ShosTA	59.88%
GCA_031850835.1_ASM3185083v1/JASCBS010000010.1_provirus_46392_98911	GCA_031850835.1_ASM3185083v1_RM_Type_I_8	RM	RM_Type_I	41.71%
GCA_031850835.1_ASM3185083v1/JASCBS010000052.1_provirus_295_11589	GCA_031850835.1_ASM3185083v1_Retron_III_5	Retron	Retron_III	100.00%
GCA_963445865.1_t152_d1_E11.1/CAUMXN010000002.1_provirus_355414_391675	GCA_963445865.1_t152_PD-Lambda-5_7	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_900144765.1_135/FRJF01000189.1_provirus_402_9997	GCA_900144765.1_135_RM_Type_II_3	RM	RM_Type_II	100.00%
GCA_963431745.1_t156_s_G11.1/CAUKVA010000014.1_provirus_122091_137684	GCA_963431745.1_t156_RM_Type_II_10	RM	RM_Type_II	100.00%
GCA_004349955.1_ASM434995v1/SCWX01000018.1_provirus_233_34549	GCA_004349955.1_ASM434995v1_DS-1_7	DS-1	DS-1	100.00%
GCA_000481565.1_Pseu_aeru_BWH007_V1/KI519140.1_provirus_174057_218730	GCA_000481565.1_Pseu_ShosTA_5	ShosTA	ShosTA	100.00%
GCA_026623175.1_ASM2662317v1/JAPMUN010000006.1_provirus_336798_377980	GCA_026623175.1_ASM2662317v1_Hma_7	Hma	Hma	100.00%
GCA_026623175.1_ASM2662317v1/JAPMUN010000006.1_provirus_336798_377980	GCA_026623175.1_ASM2662317v1_HEC-08_6	HEC-08	HEC-08	100.00%
GCA_026623175.1_ASM2662317v1/JAPMUN010000006.1_provirus_336798_377980	GCA_026623175.1_ASM2662317v1_HEC-02_5	HEC-02	HEC-02	100.00%
GCA_002136445.1_ASM213644v1/NFGF01000010.1_provirus_101329_139776	GCA_002136445.1_ASM213644v1_DS-1_7	DS-1	DS-1	100.00%
GCA_017838075.1_ASM1783807v1/JAFKDO010000005.1_provirus_46656_87344	GCA_017838075.1_ASM1783807v1_PD-T7-4_15	PD-T7-4	PD-T7-4	100.00%
GCA_013115295.1_ASM1311529v1/JABGNL010000001.1_provirus_271200_316927	GCA_013115295.1_ASM1311529v1_ShosTA_3	ShosTA	ShosTA	100.00%
GCA_963448195.1_t33_s_G10.1/CAUNGG010000020.1_provirus_53511_64668	GCA_963448195.1_t33_RM_Type_II_3	RM	RM_Type_II	48.40%
GCA_963448195.1_t33_s_G10.1/CAUNGG010000003.1_provirus_321093_360741	GCA_963448195.1_t33_Gao_Iet_1	Gao_Iet	Gao_Iet	34.79%
GCA_023930025.1_ASM2393002v1/JALISI010000046.1_provirus_60377_108958	GCA_023930025.1_ASM2393002v1_RM_Type_II_5	RM	RM_Type_II	58.77%
GCA_023930025.1_ASM2393002v1/JALISI010000046.1_provirus_60377_108958	GCA_023930025.1_ASM2393002v1_RosmerTA_3	RosmerTA	RosmerTA	100.00%
GCA_902202325.1_BS2252/CABINB010000002.1_provirus_344202_383146	GCA_902202325.1_BS2252_PD-Lambda-5_6	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_902202325.1_BS2252/CABINB010000030.1_provirus_51743_71025	GCA_902202325.1_BS2252_Hachiman_5	Hachiman	Hachiman	100.00%
GCA_000510305.1_ASM51030v1/CP006931.1_provirus_5643360_5653313	GCA_000510305.1_ASM51030v1_ShosTA_7	ShosTA	ShosTA	59.88%
GCA_963438605.1_t156_s_H7.1/CAULVM010000014.1_provirus_2_15595	GCA_963438605.1_t156_RM_Type_II_10	RM	RM_Type_II	100.00%
GCA_963435095.1_t96_d1_F8.1/CAULHQ010000011.1_provirus_110747_125017	GCA_963435095.1_t96_PD-T4-5_2	PD-T4-5	PD-T4-5	100.00%
GCA_963435095.1_t96_d1_F8.1/CAULHQ010000011.1_provirus_110747_125017	GCA_963435095.1_t96_CBASS_II_5	CBASS	CBASS_II	100.00%
GCA_027570435.1_ASM2757043v1/CP104868.1_provirus_4896282_4931040	GCA_027570435.1_ASM2757043v1_DS-1_4	DS-1	DS-1	100.00%
GCA_004370105.1_ASM437010v1/RWLL01000003.1_provirus_450223_461281	GCA_004370105.1_ASM437010v1_Retron_IV_5	Retron	Retron_IV	100.00%
GCA_023717885.1_ASM2371788v1/JAMQTA010000004.1_provirus_180613_224012	GCA_023717885.1_ASM2371788v1_PrrC_3	PrrC	PrrC	57.49%
GCA_963435875.1_t139_d1_B9.1/CAULKR010000005.1_provirus_59674_69665	GCA_963435875.1_t139_PARIS_II_3	Paris	PARIS_II	62.22%
GCA_963435875.1_t139_d1_B9.1/CAULKR010000010.1_provirus_130445_179757	GCA_963435875.1_t139_BstA_1	BstA	BstA	100.00%
GCA_002312175.1_ASM231217v1/MWXP01000030.1_provirus_6976_62524	GCA_002312175.1_ASM231217v1_RosmerTA_8	RosmerTA	RosmerTA	100.00%
GCA_001451525.1_WH-SGI-V-07491/LLPP01000009.1_provirus_54870_66581	GCA_001451525.1_WH-SGI-V-07491_RM_Type_II_7	RM	RM_Type_II	61.39%
GCA_002326345.1_ASM232634v1/NQZW01000041.1_provirus_29918_65644	GCA_002326345.1_ASM232634v1_CBASS_II_12	CBASS	CBASS_II	43.89%
GCA_963452265.1_p51_d1_F2.1/CAUNVY010000006.1_provirus_135660_183601	GCA_963452265.1_p51_ShosTA_3	ShosTA	ShosTA	100.00%
GCA_029953815.1_ASM2995381v1/JAPCSY010000041.1_provirus_65_38637	GCA_029953815.1_ASM2995381v1_PD-Lambda-5_7	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_031850805.1_ASM3185080v1/JASCBT010000013.1_provirus_94580_147099	GCA_031850805.1_ASM3185080v1_RM_Type_I_8	RM	RM_Type_I	41.71%
GCA_027856235.1_ASM2785623v1/JAFEVU010000004.1_provirus_328048_382261	GCA_027856235.1_ASM2785623v1_BstA_1	BstA	BstA	100.00%
GCA_025791455.1_ASM2579145v1/JAOXKR010000005.1_provirus_49681_68432	GCA_025791455.1_ASM2579145v1_RM_Type_II_6	RM	RM_Type_II	100.00%
GCA_001756355.1_ASM175635v1/LZQE01000012.1_provirus_50070_107252	GCA_001756355.1_ASM175635v1_GAPS4_2	GAPS4	GAPS4	100.00%
GCA_001756355.1_ASM175635v1/LZQE01000034.1_provirus_91465_215574	GCA_001756355.1_ASM175635v1_BstA_1	BstA	BstA	100.00%
GCA_001756355.1_ASM175635v1/LZQE01000012.1_provirus_50070_107252	GCA_001756355.1_ASM175635v1_Zorya_TypeI_5	Zorya	Zorya_TypeI	64.33%
GCA_026239835.1_ASM2623983v1/JAPHVY010000050.1_provirus_233190_265015	GCA_026239835.1_ASM2623983v1_Shedu_3	Shedu	Shedu	100.00%
GCA_026239835.1_ASM2623983v1/JAPHVY010000052.1_provirus_148434_193425	GCA_026239835.1_ASM2623983v1_Lamassu-Cap4_nuclease_1	Lamassu-Fam	Lamassu-Cap4_nuclease	100.00%
GCA_026239835.1_ASM2623983v1/JAPHVY010000063.1_provirus_104159_144847	GCA_026239835.1_ASM2623983v1_PD-T7-4_11	PD-T7-4	PD-T7-4	100.00%
GCA_963452065.1_t30_s_B6.1/CAUNVC010000024.1_provirus_26381_78293	GCA_963452065.1_t30_Zorya_TypeI_2	Zorya	Zorya_TypeI	64.33%
GCA_025780275.1_ASM2578027v1/JAOXFU010000003.1_provirus_349189_444876	GCA_025780275.1_ASM2578027v1_GAPS4_2	GAPS4	GAPS4	100.00%
GCA_013913275.1_ASM1391327v1/JACEQI010000013.1_provirus_90392_124304	GCA_013913275.1_ASM1391327v1_Gabija_9	Gabija	Gabija	100.00%
GCA_013913275.1_ASM1391327v1/JACEQI010000014.1_provirus_101424_139871	GCA_013913275.1_ASM1391327v1_DS-1_7	DS-1	DS-1	100.00%
GCA_900147835.1_201_1/FRUY01000027.1_provirus_115735_152735	GCA_900147835.1_201_PD-T7-4_11	PD-T7-4	PD-T7-4	100.00%
GCA_023775735.1_PDT001325723.1/DAHKOS010000023.1_provirus_19542_67751	GCA_023775735.1_PDT001325723.1_CAS_Class1-Subtype-I-F_10	CasFinder	CAS_Class1-Subtype-I-F	100.00%
GCA_949073345.1_ID106_297_19x_S59_scaffolds/CARUBR010000019.1_provirus_83493_107853	GCA_949073345.1_ID106_Shedu_3	Shedu	Shedu	100.00%
GCA_949073345.1_ID106_297_19x_S59_scaffolds/CARUBR010000013.1_provirus_27704_68392	GCA_949073345.1_ID106_PD-T7-4_12	PD-T7-4	PD-T7-4	100.00%
GCA_021674915.1_PDT000771055.1/DAFQEA010000014.1_provirus_30950_75019	GCA_021674915.1_PDT000771055.1_Pycsar_13	Pycsar	Pycsar	100.00%
GCA_003412355.2_ASM341235v2/QVBA02000001.1_provirus_97156_136486	GCA_003412355.2_ASM341235v2_PD-T7-4_8	PD-T7-4	PD-T7-4	100.00%
GCA_023993175.1_PDT001342223.1/DAHPTZ010000006.1_provirus_249755_345321	GCA_023993175.1_PDT001342223.1_GAPS4_1	GAPS4	GAPS4	100.00%
GCA_002201295.1_ASM220129v1/NIJD01000040.1_provirus_10926_51997	GCA_002201295.1_ASM220129v1_Hma_5	Hma	Hma	100.00%
GCA_002201295.1_ASM220129v1/NIJD01000040.1_provirus_10926_51997	GCA_002201295.1_ASM220129v1_HEC-08_4	HEC-08	HEC-08	100.00%
GCA_002201295.1_ASM220129v1/NIJD01000040.1_provirus_10926_51997	GCA_002201295.1_ASM220129v1_HEC-02_3	HEC-02	HEC-02	100.00%
GCA_018341945.1_ASM1834194v1/JAFBYC010000007.1_provirus_313_20626	GCA_018341945.1_ASM1834194v1_Gabija_8	Gabija	Gabija	100.00%
GCA_963434545.1_t143_s_G8.1/CAULFS010000002.1_provirus_377856_422750	GCA_963434545.1_t143_RM_Type_II_6	RM	RM_Type_II	100.00%
GCA_963434545.1_t143_s_G8.1/CAULFS010000009.1_provirus_98392_149159	GCA_963434545.1_t143_BstA_1	BstA	BstA	100.00%
GCA_963434545.1_t143_s_G8.1/CAULFS010000002.1_provirus_377856_422750	GCA_963434545.1_t143_PD-T7-4_4	PD-T7-4	PD-T7-4	100.00%
GCA_002216465.1_ASM221646v1/NKXW01000001.1_provirus_2086_41539	GCA_002216465.1_ASM221646v1_AbiU_1	AbiU	AbiU	100.00%
GCA_000481065.1_Pseu_aeru_BL04_V1/KI518937.1_provirus_452855_465236	GCA_000481065.1_Pseu_RM_Type_II_18	RM	RM_Type_II	100.00%
GCA_003969715.1_ASM396971v1/RXVS01000105.1_provirus_56584_90920	GCA_003969715.1_ASM396971v1_PD-Lambda-5_2	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_025697045.1_ASM2569704v1/JAHVZZ010000001.1_provirus_59544_70013	GCA_025697045.1_ASM2569704v1_RM_Type_II_7	RM	RM_Type_II	100.00%
GCA_028568195.1_ASM2856819v1/JAPUXT010000029.1_provirus_3_5985	GCA_028568195.1_ASM2856819v1_Septu_2	Septu	Septu	100.00%
GCA_003411355.2_ASM341135v2/QVDO02000004.1_provirus_37698_88529	GCA_003411355.2_ASM341135v2_BstA_1	BstA	BstA	100.00%
GCA_963448365.1_t159_d1_C3.1/CAUNGO010000022.1_provirus_53192_66381	GCA_963448365.1_t159_RM_Type_II_5	RM	RM_Type_II	100.00%
GCA_963448365.1_t159_d1_C3.1/CAUNGO010000014.1_provirus_122567_169700	GCA_963448365.1_t159_Retron_III_4	Retron	Retron_III	100.00%
GCA_031207285.1_ASM3120728v1/JAUZYB010000008.1_provirus_181790_201038	GCA_031207285.1_ASM3120728v1_RM_Type_II_3	RM	RM_Type_II	100.00%
GCA_030015895.1_ASM3001589v1/JASAQQ010000007.1_provirus_141795_195436	GCA_030015895.1_ASM3001589v1_BstA_1	BstA	BstA	100.00%
GCA_949076225.1_ID85_307_19_S27_scaffolds/CARUMS010000017.1_provirus_83493_107853	GCA_949076225.1_ID85_Shedu_3	Shedu	Shedu	100.00%
GCA_949076225.1_ID85_307_19_S27_scaffolds/CARUMS010000011.1_provirus_138478_179166	GCA_949076225.1_ID85_PD-T7-4_13	PD-T7-4	PD-T7-4	100.00%
GCA_022342535.1_ASM2234253v1/JAIWRO010000003.1_provirus_421705_469894	GCA_022342535.1_ASM2234253v1_RosmerTA_12	RosmerTA	RosmerTA	100.00%
GCA_031733795.1_ASM3173379v1/JASTXY010000001.1_provirus_281753_320326	GCA_031733795.1_ASM3173379v1_PD-T7-4_4	PD-T7-4	PD-T7-4	100.00%
GCA_013434735.1_ASM1343473v1/JAAOGG010000002.1_provirus_128153_196883	GCA_013434735.1_ASM1343473v1_RosmerTA_5	RosmerTA	RosmerTA	90.36%
GCA_009916345.1_CLC_Genomics_Workbench_10/SDSO01000022.1_provirus_120716_158809	GCA_009916345.1_CLC_PD-Lambda-5_7	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_003631965.1_ASM363196v1/QZZT01000040.1_provirus_2_40850	GCA_003631965.1_ASM363196v1_BstA_1	BstA	BstA	100.00%
GCA_034486165.1_PDT002035274.1/DASNPI010000032.1_provirus_14956_25014	GCA_034486165.1_PDT002035274.1_RM_Type_II_5	RM	RM_Type_II	100.00%
GCA_949072975.1_ID60_235_S13_L001.final.scaffolds/CARUAS010000031.1_provirus_2_65548	GCA_949072975.1_ID60_RM_Type_IIG_6	RM	RM_Type_IIG	100.00%
GCA_029988015.1_ASM2998801v1/JASAPR010000001.1_provirus_385842_440892	GCA_029988015.1_ASM2998801v1_HEC-04_2	HEC-04	HEC-04	100.00%
GCA_029988015.1_ASM2998801v1/JASAPR010000002.1_provirus_117161_127597	GCA_029988015.1_ASM2998801v1_Shedu_6	Shedu	Shedu	100.00%
GCA_029988015.1_ASM2998801v1/JASAPR010000005.1_provirus_278977_291814	GCA_029988015.1_ASM2998801v1_Gao_Tmn_1	Gao_Tmn	Gao_Tmn	100.00%
GCA_950097935.1_TXA13/CATNFD010000001.1_provirus_5350194_5360147	GCA_950097935.1_TXA13_ShosTA_1	ShosTA	ShosTA	59.88%
GCA_963449135.1_t52_d1_H6.1/CAUNJV010000009.1_provirus_249182_307772	GCA_963449135.1_t52_BstA_2	BstA	BstA	100.00%
GCA_013178425.1_ASM1317842v1/JABLTW010000013.1_provirus_90332_124914	GCA_013178425.1_ASM1317842v1_Gabija_7	Gabija	Gabija	100.00%
GCA_900106165.1_PSA7/FNLU01000005.1_provirus_58336_95701	GCA_900106165.1_PSA7_RosmerTA_9	RosmerTA	RosmerTA	100.00%
GCA_031850235.1_ASM3185023v1/JASCCU010000012.1_provirus_173323_214414	GCA_031850235.1_ASM3185023v1_RosmerTA_5	RosmerTA	RosmerTA	58.80%
GCA_000797005.1_AZPAE12409/JUAF01000025.1_provirus_120351_167923	GCA_000797005.1_AZPAE12409_DS-6_6	DS-6	DS-6	100.00%
GCA_963454475.1_p51_d1_D1.1/CAUOEE010000005.1_provirus_135660_183601	GCA_963454475.1_p51_ShosTA_3	ShosTA	ShosTA	100.00%
GCA_021644425.2_ASM2164442v2/CP123786.1_provirus_2610732_2656183	GCA_021644425.2_ASM2164442v2_AbiU_1	AbiU	AbiU	100.00%
GCA_963442555.1_t100_d1_B9.1/CAUMHF010000002.1_provirus_329190_374669	GCA_963442555.1_t100_AbiU_1	AbiU	AbiU	100.00%
GCA_025799595.1_ASM2579959v1/JAOXQD010000022.1_provirus_77431_91418	GCA_025799595.1_ASM2579959v1_RM_Type_IV_17	RM	RM_Type_IV	100.00%
GCA_025799595.1_ASM2579959v1/JAOXQD010000022.1_provirus_77431_91418	GCA_025799595.1_ASM2579959v1_Lamassu-Cap4_nuclease_3	Lamassu-Fam	Lamassu-Cap4_nuclease	100.00%
GCA_031926225.1_PDT001839946.1/ABMXCW010000014.1_provirus_77695_120388	GCA_031926225.1_PDT001839946.1_ShosTA_2	ShosTA	ShosTA	100.00%
GCA_019911545.1_ASM1991154v1/JADHIQ010000020.1_provirus_74626_97610	GCA_019911545.1_ASM1991154v1_Gabija_1	Gabija	Gabija	100.00%
GCA_013913485.1_ASM1391348v1/JACEQS010000005.1_provirus_335939_377053	GCA_013913485.1_ASM1391348v1_Hma_9	Hma	Hma	100.00%
GCA_013913485.1_ASM1391348v1/JACEQS010000005.1_provirus_335939_377053	GCA_013913485.1_ASM1391348v1_HEC-08_8	HEC-08	HEC-08	100.00%
GCA_013913485.1_ASM1391348v1/JACEQS010000005.1_provirus_335939_377053	GCA_013913485.1_ASM1391348v1_HEC-02_7	HEC-02	HEC-02	100.00%
GCA_963433335.1_t92_d1_E3.1/CAULBB010000009.1_provirus_120821_133888	GCA_963433335.1_t92_RM_Type_II_3	RM	RM_Type_II	100.00%
GCA_015763105.1_ASM1576310v1/JADTDK010000010.1_provirus_67794_122526	GCA_015763105.1_ASM1576310v1_BstA_1	BstA	BstA	100.00%
GCA_001086645.1_ASM108664v1/LFMU01000003.1_provirus_33619_83994	GCA_001086645.1_ASM108664v1_PD-Lambda-5_7	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_902203755.1_BS3345/CABISA010000002.1_provirus_349013_387957	GCA_902203755.1_BS3345_PD-Lambda-5_6	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_902203755.1_BS3345/CABISA010000020.1_provirus_51743_71025	GCA_902203755.1_BS3345_Hachiman_5	Hachiman	Hachiman	100.00%
GCA_963452765.1_p78_d1_B1.1/CAUNWA010000003.1_provirus_294085_321424	GCA_963452765.1_p78_RloC_4	RloC	RloC	100.00%
GCA_021668675.1_PDT000866112.1/DAFPUU010000028.1_provirus_39233_49708	GCA_021668675.1_PDT000866112.1_AbiU_1	AbiU	AbiU	100.00%
GCA_016338485.1_ASM1633848v1/JAEHVN010000020.1_provirus_18627_32614	GCA_016338485.1_ASM1633848v1_RM_Type_IV_9	RM	RM_Type_IV	100.00%
GCA_016338485.1_ASM1633848v1/JAEHVN010000009.1_provirus_102496_144888	GCA_016338485.1_ASM1633848v1_Gabija_1	Gabija	Gabija	100.00%
GCA_016338485.1_ASM1633848v1/JAEHVN010000020.1_provirus_18627_32614	GCA_016338485.1_ASM1633848v1_Lamassu-Cap4_nuclease_2	Lamassu-Fam	Lamassu-Cap4_nuclease	100.00%
GCA_003410715.2_ASM341071v2/QVBW02000004.1_provirus_98445_149214	GCA_003410715.2_ASM341071v2_BstA_2	BstA	BstA	100.00%
GCA_963436035.1_t154_d1_C6.1/CAULLT010000011.1_provirus_121645_158088	GCA_963436035.1_t154_PD-Lambda-5_4	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_013115475.1_ASM1311547v1/JABGNP010000010.1_provirus_61171_72768	GCA_013115475.1_ASM1311547v1_Gabija_1	Gabija	Gabija	43.98%
GCA_019022735.1_ASM1902273v1/JAGMWQ010000018.1_provirus_638_59795	GCA_019022735.1_ASM1902273v1_BstA_1	BstA	BstA	100.00%
GCA_004123445.1_ASM412344v1/SDVS01000001.1_provirus_239397_276878	GCA_004123445.1_ASM412344v1_DS-4_1	DS-4	DS-4	100.00%
GCA_963439965.1_t96_d1_H9.1/CAUMAC010000015.1_provirus_81744_96014	GCA_963439965.1_t96_PD-T4-5_2	PD-T4-5	PD-T4-5	100.00%
GCA_963439965.1_t96_d1_H9.1/CAUMAC010000015.1_provirus_81744_96014	GCA_963439965.1_t96_CBASS_II_5	CBASS	CBASS_II	100.00%
GCA_001451865.1_WH-SGI-V-07502/LLQI01000034.1_provirus_428103_482316	GCA_001451865.1_WH-SGI-V-07502_BstA_1	BstA	BstA	100.00%
GCA_013913025.1_ASM1391302v1/JACEPV010000003.1_provirus_3_41481	GCA_013913025.1_ASM1391302v1_AbiU_1	AbiU	AbiU	100.00%
GCA_032696765.1_ASM3269676v1/CP103789.1_provirus_5410377_5419500	GCA_032696765.1_ASM3269676v1_RM_Type_IV_5	RM	RM_Type_IV	0.97%
GCA_022342605.1_ASM2234260v1/JAIWRT010000003.1_provirus_421707_469896	GCA_022342605.1_ASM2234260v1_RosmerTA_12	RosmerTA	RosmerTA	100.00%
GCA_021694335.1_PDT000753673.1/DAFRGP010000008.1_provirus_64915_105497	GCA_021694335.1_PDT000753673.1_Gabija_1	Gabija	Gabija	100.00%
GCA_963434075.1_t95_srt_H9.1/CAULDP010000023.1_provirus_79877_107495	GCA_963434075.1_t95_PD-T7-4_2	PD-T7-4	PD-T7-4	100.00%
GCA_021060805.1_ASM2106080v1/JAIGZG010000076.1_provirus_53762_67749	GCA_021060805.1_ASM2106080v1_RM_Type_IV_20	RM	RM_Type_IV	100.00%
GCA_021060805.1_ASM2106080v1/JAIGZG010000076.1_provirus_53762_67749	GCA_021060805.1_ASM2106080v1_Lamassu-Cap4_nuclease_3	Lamassu-Fam	Lamassu-Cap4_nuclease	100.00%
