Strain,Mash,Defense_Systems,Prophages,Target_Proteins,Spacer_Hit_Prophages
GCA_028595385.1,143,AbiZ;CRISPR-Cas;Gabija;Hachiman;PD-T7-2;PrrC;R-M;RloC;RosmerTA;Rst_HelicaseDUF2290;Wadjet;Zorya,P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0028;P0032;P0034;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0049;P0059;P0060;P0065;P0067;P0070;P0071;P0072;P0073;P0079;P0081;P0083;P0084
GCA_028595405.1,143,CRISPR-Cas;Hachiman;PD-T7-2;R-M;RosmerTA;Rst_HelicaseDUF2290;Wadjet,P0013;P0022;P0028;P0043;P0053,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0081;P0084
GCA_028595445.1,143,CRISPR-Cas;Hachiman;PD-T7-2;R-M;RosmerTA;Rst_HelicaseDUF2290;Wadjet,P0043;P0053;P0066,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0081;P0084
GCA_028595485.1,143,AbiZ;CRISPR-Cas;PrrC;R-M;RloC;Zorya,P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_028595535.1,143,AbiZ;CRISPR-Cas;Gabija;Hachiman;PD-T7-2;PrrC;R-M;RloC;RosmerTA;Rst_HelicaseDUF2290;Wadjet;Zorya,P0013;P0022;P0028;P0043;P0053,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0001;P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0046;P0047;P0049;P0060;P0065;P0072;P0081;P0083;P0084
GCA_028595585.1,143,CRISPR-Cas;Hachiman;PD-T7-2;R-M;RosmerTA;Rst_HelicaseDUF2290;Wadjet,P0022;P0028;P0034;P0043;P0053,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0072;P0081;P0084
GCA_028595635.1,143,AbiZ;CRISPR-Cas;Hachiman;PD-T7-2;PrrC;R-M;RloC;Zorya,P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_028595705.1,143,CRISPR-Cas;Hachiman;PD-T7-2;R-M;RosmerTA;Rst_HelicaseDUF2290;Wadjet,P0022;P0028;P0043;P0053,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0081;P0084
GCA_028595795.1,143,CRISPR-Cas;Hachiman;PD-T7-2;R-M;RosmerTA;Rst_HelicaseDUF2290;Wadjet,P0013;P0022;P0043;P0053;P0066,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0054;P0060;P0072;P0081;P0084
GCA_028595895.1,143,CRISPR-Cas;Hachiman;PD-T7-2;R-M;RosmerTA;Rst_HelicaseDUF2290;Wadjet,P0013;P0022;P0028;P0043;P0053,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0081;P0084
GCA_028608565.1,143,AbiZ;CRISPR-Cas;Mokosh;R-M;RloC,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_028737335.1,143,CBASS;CRISPR-Cas;Gabija;Mokosh;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0015;P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029102715.1,143,AbiZ;CRISPR-Cas;Mokosh;R-M;RloC;Shango;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029223505.1,143,CRISPR-Cas;Gabija;Hachiman;PD-T7-2;RosmerTA;Rst_HelicaseDUF2290,P0022;P0053;P0066,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0081;P0084
GCA_029603365.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029603375.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;R-M;RloC;RosmerTA;Shango;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029603405.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029603655.1,143,CBASS;CRISPR-Cas;Lamassu-Fam;Mokosh;PD-T7-2;RloC;Wadjet;dCTPdeaminase,P0049;P0053;P0054,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0037;P0038;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0070;P0081
GCA_029604045.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029604065.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029604105.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029604395.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029604445.1,143,CRISPR-Cas;Mokosh;PrrC;R-M;RloC;Shango;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029604465.1,143,CRISPR-Cas;Mokosh;PrrC;R-M;RloC;Shango;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029604485.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0035;P0050;P0059,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029604505.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029604535.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029604725.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029604785.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0050;P0059;P0069,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029604905.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029605005.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029605155.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029605225.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029605245.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0015;P0050;P0069,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029605295.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029605905.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029606065.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0050;P0059;P0069,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029623785.1,143,CRISPR-Cas;Hachiman;PD-T7-2;RosmerTA;Rst_HelicaseDUF2290;ShosTA;Wadjet,P0006;P0022;P0028;P0053,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0072;P0081;P0084
GCA_029623805.1,143,AbiZ;CRISPR-Cas;Kiwa;Mokosh;PrrC;R-M;RloC;Zorya,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029835795.1,143,BREX;CRISPR-Cas;Mokosh;PD-T4-8;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0015;P0022;P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029836085.1,143,CRISPR-Cas;Dazbog;Gao_Her;Prometheus;R-M;RloC,P0050,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029954555.1,143,BREX;CRISPR-Cas;MADS;MADS3-4;PD-Lambda-1;Prometheus;R-M;RosmerTA,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029954635.1,143,BREX;CRISPR-Cas;MADS;MADS3-4;PD-Lambda-1;Prometheus;R-M;RosmerTA,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029954835.1,143,CRISPR-Cas;Gao_Qat;Gao_Tmn;PD-T7-2;Pycsar;RloC,P0049;P0053,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0042;P0045;P0047;P0048;P0049;P0059;P0060;P0070;P0072;P0081;P0084
GCA_029987555.1,143,CRISPR-Cas;Gao_Her;Prometheus;R-M;RloC;Rst_3HP,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0029;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0053;P0059;P0060;P0063;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029987565.1,143,BREX;CBASS;CRISPR-Cas;Eleos;PD-T7-2;R-M;Retron,P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029987595.1,143,CRISPR-Cas;Gao_Her;Prometheus;R-M;RloC;Rst_3HP,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0029;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0053;P0059;P0060;P0063;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029987915.1,143,CRISPR-Cas;Gabija;R-M;RosmerTA,P0043;P0050;P0069,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029988235.1,143,CRISPR-Cas;Gao_Her;Prometheus;R-M;RloC;Rst_3HP,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0029;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0053;P0059;P0060;P0063;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029988355.1,143,CRISPR-Cas;Gao_Her;Prometheus;R-M;RloC;Rst_3HP,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0029;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0053;P0059;P0060;P0063;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029988635.1,143,BREX;CRISPR-Cas;PrrC;R-M,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029988875.1,143,Azaca;CBASS;CRISPR-Cas;DS-4;Eleos;HEC-08;Prometheus;R-M;RloC;TIR-III,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029989045.1,143,BREX;CBASS;CRISPR-Cas;Eleos;PD-T7-2;R-M;Retron,P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029989145.1,143,BREX;CBASS;CRISPR-Cas;Eleos;PD-T7-2;R-M;Retron,P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029989225.1,143,BREX;CRISPR-Cas;PrrC;R-M,P0035;P0050,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_029990005.1,143,CBASS;CRISPR-Cas;CoCoNut;Druantia;Gabija;Gao_Qat;PD-T7-2;Pycsar;R-M;RloC,P0053;P0085,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0042;P0045;P0047;P0048;P0049;P0059;P0060;P0070;P0081;P0084
GCA_030015875.1,143,CRISPR-Cas;Gao_Her;Prometheus;R-M;RloC;Rst_3HP,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0029;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0053;P0059;P0060;P0063;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_030024445.1,143,AbiE;CRISPR-Cas;Hachiman;PD-T7-2;RosmerTA;Rst_HelicaseDUF2290;Wadjet,P0053;P0066,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0081;P0084
GCA_030024655.1,143,CRISPR-Cas;Hachiman;PD-T7-2;R-M;RloC;RosmerTA;Wadjet;Zorya,P0022;P0034;P0053,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0081;P0084
GCA_030024705.1,143,AbiE;CRISPR-Cas;Hachiman;PD-T7-2;RosmerTA;Rst_HelicaseDUF2290;Wadjet,P0022;P0028;P0034;P0053,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0081;P0084
GCA_030024955.1,143,AbiE;CRISPR-Cas;Hachiman;PD-T7-2;RosmerTA;Rst_HelicaseDUF2290;Wadjet,P0022;P0034;P0053;P0066,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0081;P0084
GCA_030406925.1,143,CRISPR-Cas;Hachiman;PD-T7-2;RosmerTA;Rst_HelicaseDUF2290;Wadjet,P0022;P0053;P0089,DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0081;P0084
GCA_030410195.1,143,CBASS;CRISPR-Cas;Gabija;Mokosh;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0035;P0050;P0089,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_030411355.1,143,CBASS;CRISPR-Cas;Gabija;Mokosh;PrrC;R-M;RloC;Zorya,P0050;P0089,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0014;P0016;P0017;P0019;P0021;P0022;P0026;P0027;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0049;P0050;P0053;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0082;P0083;P0084;P0089;P0090
GCA_030544405.1,143,CBASS;CRISPR-Cas;Gabija;Mokosh;PrrC;R-M;RloC;RosmerTA;Shango;Zorya,P0050,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_030738155.1,143,BREX;CRISPR-Cas;DRT;Gabija;Gao_Her;PD-T7-2;R-M;RloC;Zorya,P0050;P0069,AmpD;DUF1615 protein;Gamp2;TBDR2;TpsB;Tsx,P0001;P0007;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0043;P0046;P0047;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084
GCA_030738215.1,143,AbiE;CBASS;CRISPR-Cas;DISARM;Gabija;PD-T7-2;R-M,P0022;P0053,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0081;P0084
GCA_030738265.1,143,AbiE;CBASS;CRISPR-Cas;DISARM;Gabija;PD-T7-2;R-M,P0022;P0053,AmpD;DUF1615 protein;Gamp2;TpsB;Tsx;lipoprotein E family,P0007;P0011;P0012;P0014;P0016;P0019;P0026;P0028;P0032;P0037;P0038;P0045;P0047;P0049;P0060;P0081;P0084
